"Slice","AgeGroup","Treatment","Date","Age","Sex","Weight","rSoln","xSoln","Cut.Time","Rig","HP","FirstIO","StimFile","StimMag","Comment","IOf_30","IOf_60","IOf_90","IOf_120","IOf_150","IOf_180","IOf_210","IOf_240","IOf_270","IOf_300","IOt_30","IOt_60","IOt_90","IOt_120","IOt_150","IOt_180","IOt_210","IOt_240","IOt_270","IOt_300","IOe_30","IOe_60","IOe_90","IOe_120","IOe_150","IOe_180","IOe_210","IOe_240","IOe_270","IOe_300"
"P14f-AP5F_2-AP03","PND14","AP5[50uM]","2017_11_09",13,"M",27,"rACSF","rACSF",NA,"Luis",NA,"2017_11_09_1007.atf","2017_11_09_1009.abf",NA,"",0.0548309326204399,0.30373992920358,0.52744610309974,0.65990917682275,0.72245495318872,0.79330761432912,0.81203320025917,0.82962048053636,0.86721813679124,0.8694977998698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0451339721686601,0.17380371093686,0.42708587646303,0.58543395996286,0.74232940674133,0.82340393066088,0.90790100097484,0.98002777099299,0.99769439697062,1.003329467774
"P14f-AP5W_1","PND14","AP5[50uM]","2018_01_19",15,"F",40,"rACSF","rACSF",NA,"Scott",NA,"2018_01_19_0003.atf","2018_01_19_0007.abf","0.035","",0.0888671875,0.798004150390625,1.14947509765835,1.39645385742188,1.57382202148438,1.70135498047375,1.80245971679688,1.81893920898438,1.86685180664062,1.9393310546875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521270751953125,1.47940063477063,2.36654663086438,3.12612915039563,3.72540283203125,4.12490844726562,4.38449096679688,4.59463500976562,4.76309204101562,4.830566406255
"P14f-AP5W_2","PND14","AP5[50uM]","2018_02_26",15,"F",35,"rACSF","rACSF",NA,"Scott",NA,"2018_02_26_0009.atf","2018_02_26_0016.abf","0.03","Did HFS after LTD",0.10043334961253,0.33895874023558,1.17861938476841,1.49942016601928,1.64337158203293,1.69207763672104,1.79586791992525,1.76116943359589,1.72637939453385,1.74932861328328,0.045501708984375,0.717071533203125,1.279541015625,1.50338745117188,1.69955444336438,1.72238159180188,1.80477905273938,1.76956176758313,1.79928588867188,1.79547119140625,0.902618408201,2.83078002930061,4.86175537109039,6.77960205078221,8.36123657226501,9.58129882809557,10.5890502929431,11.291809082002,11.7685241698938,12.1394348144519
"P14f-AP5W_3","PND14","AP5[50uM]","2018_06_20",14,"F",28.9,"rACSF","rACSF","9:00","Scott",NA,"2018_06_20_0007.atf","2018_06_20_0012.abf","0.05","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045501708984375,0.717071533203125,1.279541015625,1.50338745117188,1.69955444336438,1.72238159180188,1.80477905273938,1.76956176758313,1.79928588867188,1.79547119140625,0.10641479491931,0.44772338866855,1.07153320312937,1.33978271484429,1.52120971679769,1.67553710937936,1.69515991211167,1.73107910155891,1.75891113281068,1.82797241210868
"P14f-AP5W_4","PND14","AP5[50uM]","2018_06_21",15,"M",32,"rACSF","rACSF","11:30","Scott",NA,"2018_06_21_0000.atf","2018_06_21_0008.abf","0.06","[25uM] AP5",0.05648803711013,0.21731567382382,0.68072509765625,0.985839843755,1.167236328125,1.3326416015625,1.47525024414563,1.56094360351562,1.66311645507812,1.72494506836438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2796630859375,0.807861328125,1.4642333984375,2.40103149414062,3.3365478515675,4.22769165039062,5.44287109375,6.567382812505,6.82058715820812,7.37774658203125
"P14f-AP5W_6","PND14","AP5[50uM]","2018_06_21",15,"M",32,"rACSF","rACSF",NA,"Scott",NA,"2018_06_21_0022.atf","2018_06_21_0027.abf",NA,"",0.027557373046875,0.0958251953125,0.48699951172375,0.726898193359375,0.848114013671875,0.94891357422375,0.95623779296875,1.03329467773938,1.03909301758313,1.079833984375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P14f-AP5W_7","PND14","AP5[50uM]","2018_10_10",13,"M",25.9,"rACSF","rACSF","9:00","Sunny","R2","2018_10_10_2001.atf","2018_10_10_2008.abf",NA,"",0.60779907226686,1.0452209472694,1.20533996581899,1.30953247069937,1.39090148925894,1.40971618652708,1.42342041015257,1.44557373046759,1.4595825195301,1.45176940917594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61526977539193,1.21786132812623,1.41891845703507,1.5504052734413,1.60010437011822,1.67350036621477,1.67740600586053,1.73259338379029,1.70400573730104,1.70692565918349
"P14f-AP5W_8","PND14","AP5[50uM]","2018_10_10",13,"M",25.9,"rACSF","rACSF","9:00","Scott","L3","2018_10_10_0012.atf","2018_10_10_0018.abf","0.0","",0.68526611328125,1.38740844726562,1.59803466797375,1.69002075195312,1.76950073242688,1.79761352539062,1.78906860351562,1.80796508789063,1.83148803710937,1.78148803710938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.267071533203125,0.659906005864375,1.11936645508313,1.52626342773437,1.84649658203625,2.11183471680188,2.317480468755,2.4883056640675,2.62552490234375,2.70653076172375
"P14f-AP5W_10","PND14","AP5[50uM]","2018_10_11",14,"M",30,"rACSF","Sucrose","6:45","Scott","L2","2018_10_11_0000.atf","2018_10_11_0005.abf","0.05","",0.35446166992453,0.72548828125,0.86214599609375,0.9772216796875,1.0333740234375,1.09105224609375,1.135498046875,1.12932739257813,1.1494873046875,1.15975341796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26790771484375,2.92162475585938,4.33150024414562,5.46001586914062,6.32969970703125,7.01047973632812,7.46513061523437,7.83985595703125,8.07774047851563,8.24640502929688
"P14f-AP5W_11","PND14","AP5[50uM]","2018_11_29",13,"M",27.3,"rACSF","rACSF","10:15","Luis","L2","2018_11_29_1023.atf","2018_11_29_1031.abf","0.04","",0.20691528320181,0.79705078125129,1.16085083007676,1.3705297851547,1.47330810547008,1.53001098632428,1.56035583496222,1.60576965331654,1.65668457031383,1.65009826660267,0.078865356445059,0.672895507814752,1.05387268066642,1.29445007324443,1.4397613525393,1.626364746099,1.67963623046876,1.66981628418195,1.60548217773912,1.63828918456758,0.0721795654333097,0.46469421386589,0.88497436523323,1.05724975586312,1.20624206543098,1.24917541503789,1.29910034180047,1.3308227539049,1.35272766113151,1.41238891601176
"P14f-AP5W_12","PND14","AP5[50uM]","2018_11_29",13,"M",27.3,"rACSF","rACSF","10:15","Scott","R4","2018_11_29_0013.atf","2018_11_29_0023.abf","0.035","",0.26683654785282,0.98142395019638,1.24968566894662,1.31583251953274,1.35290527343882,1.39518737793125,1.43200988769671,1.45795593261847,1.50210571289206,1.51505432129034,0.10632324218876,0.67843017578472,1.14386291504027,1.31998291015701,1.36557617187572,1.46886291504032,1.54550170898556,1.55936584472715,1.60429382324333,1.62186279296978,1.05099487304808,2.51543273925909,4.3133056640663,6.20057067871466,7.83044738770148,9.19113769531109,10.4463348388711,11.4636596679725,12.209933471681,12.6245788574107
"P14f-AP5W_13","PND14","AP5[50uM]","2018_11_30",14,"F",27.9,"rACSF","rACSF","11:30","Scott","L3","2018_11_30_0000.atf","2018_11_30_0008.abf","0.03","",0.642303466797605,1.11348266601587,1.35263366699245,1.40353393554761,1.46087341308669,1.47922668457305,1.51378784179464,1.55570983886744,1.59671936035432,1.62146301270056,0.271359252929932,0.882760620117439,1.1751556396487,1.33059997558618,1.41542968750024,1.48745422363304,1.51584167480545,1.63832702636744,1.62149963378982,1.63734436035181,0.94363098144637,2.23539123535317,4.09332580567068,5.78319091796754,7.40311889649072,8.69705810547011,9.63333740235007,10.3704467773474,10.9820129394594,11.3002807617199
"P14f-AP5W_14","PND14","AP5[50uM]","2018_11_30",14,"F",27.9,"rACSF","rACSF","11:30","Luis","L4","2018_11_30_1013.atf","2018_11_30_1018.abf","0.03","",0.11410095214725,0.60486999512091,0.92450500488666,1.07291320801149,1.20533142089479,1.30017456054815,1.35186218261838,1.37502258300901,1.43257263183722,1.42321594238418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06061340332151,0.415984497071,0.8569842529305,1.11662719726684,1.30863830566537,1.41047790527529,1.45511352539228,1.55540222168079,1.60554138183768,1.62912902832171
"P14f-CS_2-CS11","PND14","Control","2017_08_17",14,"F",37,"rACSF","rACSF","2:55","Luis",NA,"2017_08_17_1004.atf","2017_08_17_1007.abf","0.05","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15736242532803,0.367713987829277,0.51428991555992,0.576193249639812,0.61693878173779,0.61704559325729,0.65006866454785,0.66985015868717,0.66167144775831,0.65450897216372
"P14f-CS_3-CS22","PND14","Control","2017_09_09",13,"M",28,"rACSF","rACSF","10:55","Scott",NA,"2017_09_09_0004.atf","2017_09_09_0007.abf","0.05","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16818237304436,0.42190551757952,0.71002197265625,0.851409912109375,1.01278686523438,1.18930053711308,1.29147338867518,1.32113647461114,1.36755371093906,1.38327026367188
"P14f-CS_4-CS23","PND14","Control","2017_09_09",13,"M",28,"rACSF","rACSF",NA,"Luis",NA,"2017_09_09_1000.atf","2017_09_09_1003.abf","0.05","",0.0501159667936708,0.31228790283145,0.595356750488961,0.74194946288984,0.782481384278089,0.78549804687438,0.79216766357251,0.784580993646451,0.812944030763651,0.78717956542781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0497360229946011,0.3517059326623,0.644844055131299,0.7593658446803,0.8466064452951,0.903086853075301,0.9056671142169,0.911717224150999,0.9296478271342,0.9266250610643
